config,case,fit,syn,sem,sol,solMax
50-25-25,arbiter,1.78,0.85,0.68,433,499
50-25-25,minepump,1.80,0.63,0.94,493,567
50-25-25,RG1,1.75,0.60,0.91,374,422
50-25-25,RG2,1.76,0.75,0.76,501,557
50-25-25,Lift,1.77,0.54,1.00,296,340
50-25-25,HumanoidLTL_458,1.71,0.45,0.99,590,642
50-25-25,GyroUnrealizable_Var1,1.72,0.43,1.00,467,551
50-25-25,GyroUnrealizable_Var2,1.73,0.47,1.00,607,652
50-25-25,detector,0.87,0.66,0.83,529,567
50-25-25,full_arbiter,0.56,0.34,0.32,4,11
50-25-25,lily02,0.85,0.76,0.64,367,407
50-25-25,lily11,0.95,0.81,0.98,621,662
50-25-25,lily15,0.85,0.66,0.73,426,474
50-25-25,lily16,0.81,0.67,0.58,386,419
50-25-25,load_balancer,0.92,0.68,0.99,494,581
50-25-25,ltl2dba_R_2,0.89,0.57,0.97,614,683
50-25-25,ltl2dba_theta_2,0.90,0.70,0.89,630,652
50-25-25,ltl2dba27,0.88,0.54,0.98,582,669
50-25-25,prioritized_arbiter,0.72,0.60,0.33,12,29
50-25-25,round_robin,0.91,0.66,1.00,671,737
50-25-25,simple_arbiter,0.89,0.71,0.82,491,548
50-15-35,arbiter,0.87,0.80,0.68,392,487
50-15-35,minepump,0.94,0.60,0.98,465,561
50-15-35,RG1,0.92,0.62,0.93,272,378
50-15-35,RG2,0.87,0.61,0.79,412,492
50-15-35,Lift,0.93,0.54,1.00,212,283
50-15-35,HumanoidLTL_458,0.89,0.45,0.95,559,621
50-15-35,GyroUnrealizable_Var1,0.91,0.43,1.00,395,534
50-15-35,GyroUnrealizable_Var2,0.92,0.47,1.00,502,691
50-15-35,detector,0.90,0.66,0.85,517,570
50-15-35,full_arbiter,0.70,0.44,0.65,6,6
50-15-35,lily02,0.84,0.68,0.69,369,406
50-15-35,lily11,0.97,0.81,1.00,615,677
50-15-35,lily15,0.86,0.64,0.74,427,482
50-15-35,lily16,0.80,0.65,0.57,384,409
50-15-35,load_balancer,0.95,0.68,0.99,537,601
50-15-35,ltl2dba_R_2,0.93,0.52,1.00,627,672
50-15-35,ltl2dba_theta_2,0.91,0.67,0.88,640,680
50-15-35,ltl2dba27,0.92,0.52,0.98,554,606
50-15-35,prioritized_arbiter,0.75,0.61,0.53,11,20
50-15-35,round_robin,0.95,0.66,1.00,662,721
50-15-35,simple_arbiter,0.90,0.65,0.86,495,543
50-20-30,arbiter,0.89,0.82,0.71,414,515
50-20-30,minepump,0.92,0.61,0.97,424,488
50-20-30,RG1,0.89,0.58,0.90,291,408
50-20-30,RG2,0.87,0.72,0.76,446,531
50-20-30,Lift,0.91,0.54,1.00,234,288
